id_vict,x,y,tri
283,33,0,3
201,0,26,1
202,0,34,2
175,-11,31,2
190,-7,30,3
195,-4,30,2
197,-2,30,0
180,-10,29,0
193,-6,28,2
200,0,-12,2
101,0,-29,1
223,9,-25,1
247,21,-25,0
208,3,-24,1
229,13,-23,3
219,8,-23,2
260,26,-22,2
250,22,-22,0
257,24,-21,0
210,5,-19,0
217,7,-12,0
248,21,-19,2
224,9,-19,3
225,9,-16,1
226,10,-8,3
230,13,-7,1
228,12,-5,0
218,7,-3,2
258,25,-7,3
259,26,-17,2
265,27,-16,2
270,28,-15,3
275,30,-14,3
278,31,-8,1
280,32,-7,2
266,27,-5,3
93,-1,-5,1
254,23,-18,2
255,23,-16,1
251,22,-16,3
