id_vict,x,y,tri
379,47,19,1
347,47,24,2
348,47,47,2
344,45,35,3
345,45,36,2
335,39,46,1
340,41,44,3
342,42,42,3
333,38,45,0
334,39,44,2
337,40,41,3
329,34,43,1
341,42,35,2
346,46,31,2
343,45,24,0
339,41,35,1
328,34,41,1
332,37,36,1
338,41,31,1
336,40,29,2
324,32,38,3
325,32,45,0
319,29,47,1
323,31,41,3
322,31,39,3
313,27,42,3
365,20,45,2
156,-24,47,3
133,-35,47,3
147,-28,46,0
122,-41,45,0
151,-27,45,2
126,-40,42,3
127,-38,42,3
130,-37,42,2
144,-29,42,1
141,-30,41,1
149,-28,41,0
107,-46,41,2
106,-46,39,2
105,-46,38,2
114,-43,37,0
121,-41,37,0
129,-37,37,0
108,-45,33,1
113,-43,33,0
119,-42,30,3
104,-46,28,2
290,38,-38,1
291,40,-32,0
289,40,-33,1
303,46,-35,1
304,46,-18,3
