166,-17,39
52,-27,-33
37,-33,-34
282,33,-28
51,-28,-29
57,-25,-39
34,-34,-27
40,-31,-36
182,-9,44
139,-31,34
186,-8,44
165,-18,38
32,-34,-33
48,-29,-31
148,-28,32
276,31,-29
61,-41,-23
77,-16,-45
140,-30,33
49,-28,-33
273,30,-29
162,-21,37
136,-32,36
74,-20,-43
149,-28,41
54,-26,-40
53,-26,-42
29,-36,-30
50,-28,-32
169,-15,40
160,-22,38
261,27,-32
30,-35,-30
143,-29,38
183,-9,47
164,-18,37
161,-21,43
58,-25,-36
158,-23,40
279,32,-28
46,-30,-31
277,31,-25
45,-30,-36
284,35,-27
23,-39,-26
262,27,-31
272,29,-35
286,36,-28
33,-34,-29
19,-40,-25
28,-36,-34
