id_vict,x,y,tri
28,-36,-34,2
32,-34,-33,0
37,-33,-34,1
30,-35,-30,1
29,-36,-30,0
19,-40,-25,3
23,-39,-26,0
46,-30,-31,1
33,-34,-29,3
61,-41,-23,3
34,-34,-27,0
48,-29,-31,2
49,-28,-33,2
52,-27,-33,1
50,-28,-32,0
58,-25,-36,1
40,-31,-36,2
45,-30,-36,1
53,-26,-42,1
54,-26,-40,2
57,-25,-39,2
74,-20,-43,0
77,-16,-45,3
51,-28,-29,2
277,31,-25,2
286,36,-28,0
272,29,-35,3
282,33,-28,2
284,35,-27,1
279,32,-28,2
276,31,-29,1
261,27,-32,2
273,30,-29,1
262,27,-31,1
203,0,43,2
183,-9,47,0
182,-9,44,0
186,-8,44,3
161,-21,43,2
170,-14,42,3
199,-1,42,2
149,-28,41,0
158,-23,40,2
169,-15,40,2
166,-17,39,3
143,-29,38,1
160,-22,38,2
165,-18,38,1
164,-18,37,1
162,-21,37,1
136,-32,36,0
139,-31,34,0
140,-30,33,2
135,-34,34,2
148,-28,32,0
