141,-30,41
129,-37,37
133,-35,47
3,-45,-44
122,-41,45
26,-36,-37
18,-41,-30
39,-31,-40
151,-27,45
47,-29,-41
10,-43,-29
27,-36,-36
20,-39,-44
15,-42,-28
11,-43,-27
73,-20,-46
25,-38,-37
22,-39,-35
13,-42,-38
156,-24,47
35,-33,-42
24,-38,-45
38,-32,-39
36,-33,-38
8,-43,-43
31,-34,-38
42,-30,-44
2,-45,-45
43,-30,-43
12,-42,-46
5,-45,-27
1,-46,-39
16,-41,-40
0,-46,-43
6,-44,-45
21,-39,-43
44,-30,-42
127,-38,42
4,-45,-43
9,-43,-37
7,-44,-37
130,-37,42
147,-28,46
126,-40,42
14,-42,-30
17,-41,-37
144,-29,42
